,headline
3512,main cincinnati philadelphia kicker contentkick none printheadlin cincinnati philadelphia name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick philadelphia_name_none philadelphia_name philadelphia_kicker philadelphia_kicker_contentkick
3513,main henri thurber dead presid cleveland exsecretari succumb append kicker none contentkick none printheadlin henri thurber dead presid cleveland exsecretari succumb append name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
3514,main boston lead american leagu greater new york lose doublehead chicago last week nation new york wind season brooklyn saturday washington park kicker contentkick none printheadlin boston lead american leagu greater new york lose doublehead chicago last week nation new york wind season brooklyn saturday washington park name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick new_york american_leagu greater_new_york greater_new printheadlin_boston none_printheadlin_boston main_boston york_american york_win new_york_win leagu_greater_new leagu_greater american_leagu_greater york_lose new_york_lose lead_american lead_american_leagu washington_park
3515,main grosvenor subsidi kicker none contentkick none printheadlin grosvenor subsidi name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
3516,main new york chicago poor play except one inning ame hold western men safe kicker contentkick none printheadlin new york chicago poor play except one inning ame hold western men safe name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick new_york printheadlin_new none_printheadlin_new main_new printheadlin_new_york main_new_york york_chicago one_inning new_york_chicago
3517,main boston philadelphia kicker contentkick none printheadlin boston philadelphia name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_boston none_printheadlin_boston main_boston philadelphia_name_none philadelphia_name philadelphia_kicker philadelphia_kicker_contentkick
3518,main american action santo domingo bombard puerto plata prevent govern forc recaptur san pedro de macori kicker none contentkick none printheadlin american action santo domingo bombard puerto plata prevent govern forc recaptur san pedro de macori name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none printheadlin_american none_printheadlin_american main_american
3519,main movement naval vessel kicker contentkick none printheadlin movement naval vessel name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick naval_vessel movement_naval_vessel movement_naval printheadlin_movement none_printheadlin_movement main_movement vessel_name_none vessel_name vessel_kicker printheadlin_movement_naval main_movement_naval vessel_kicker_contentkick naval_vessel_name naval_vessel_kicker
3520,main schumannheink new plan grand opera singer follow fritzi scheff comic opera kicker none contentkick none printheadlin schumannheink new plan grand opera singer follow fritzi scheff comic opera name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
3521,main gener busi item kicker contentkick none printheadlin gener busi item name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick busi_item gener_busi_item gener_busi
3522,main peac santo domingo admir sigsbe cabl cessat hostil arrang kicker none contentkick none printheadlin peac santo domingo admir sigsbe cabl cessat hostil arrang name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none none_contentkick_none none_contentkick kicker_none_contentkick kicker_none
3523,main lisonjero trot fast saugu kicker contentkick none printheadlin lisonjero trot fast saugu name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
3524,main yesterday basebal pittsburg beat brooklyn fourth sunday game crowd larg orderli twentyon thousand person see st loui washington team play fourteen inning kicker contentkick none printheadlin yesterday basebal pittsburg beat brooklyn fourth sunday game crowd larg orderli twentyon thousand person see st loui washington team play fourteen inning name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick st_loui yesterday_basebal printheadlin_yesterday none_printheadlin_yesterday main_yesterday printheadlin_yesterday_basebal main_yesterday_basebal team_play inning_name_none inning_name inning_kicker_contentkick inning_kicker one_inning
3525,main chicago washington kicker contentkick none printheadlin chicago washington name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick printheadlin_chicago none_printheadlin_chicago main_chicago washington_name_none washington_name washington_kicker washington_kicker_contentkick
3526,main two game west pittsburg cincinnati stop play twelv inning chicago defeat st loui morn contest citi today doublehead afternoon kicker contentkick none printheadlin two game west pittsburg cincinnati stop play twelv inning chicago defeat st loui morn contest citi today doublehead afternoon name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick st_loui two_game printheadlin_two none_printheadlin_two main_two defeat_st_loui defeat_st chicago_defeat
3527,main american leagu chicago score run one inning win kicker contentkick none printheadlin american leagu chicago score run one inning win name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick american_leagu printheadlin_american none_printheadlin_american main_american printheadlin_american_leagu main_american_leagu win_name_none win_name win_kicker score_run win_kicker_contentkick leagu_chicago american_leagu_chicago one_inning chicago_american
3528,main quaker shut chicago white pitch puzzl philadelphian solv kicker contentkick none printheadlin quaker shut chicago white pitch puzzl philadelphian solv name none seo none sub none sub_none seo_none_sub seo_none none_sub_none none_sub none_seo_none none_seo none_printheadlin name_none_seo name_none contentkick_none_printheadlin contentkick_none kicker_contentkick_none kicker_contentkick none_contentkick
